SEF_DCM_Name|SEF_DCM_LEI|Trade_Date|Effective_Date|Internal_Prod_ID|Internal_Prod_Des|Asset_Class|Base_Prod|Sub_Prod|Tran_Type|Contract_Type|Curr_Code|Setl_Method|UPI|Block_Flag|Option_Flag|DCO_Name|DCO_LEI|Premium_Volatility_Other_Flag|First_Price|High_Price|Low_Price|Last_Price|Traded_Currency|Notional_Traded_Currency_DA|Notional_Traded_Currency_NDA|Total_Notional_USD_DA|Cleared_Notional_USD_DA|Un_Cleared_Notional_USD_DA|Total_Notional_USD_NDA|Cleared_Notional_USD_NDA|Un_Cleared_Notional_USD_NDA|Total_Trade_Count|Cleared_Trade_Count|Un_Cleared_Trade_Count
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200901|12Y_IRS_6M-3M-3M_USDLIBOR_LCH|"12 Year Interest Rate Swap - 3 Month LIBOR for USD"|IR|S|FF|6M_30/360_vs_3M_3M_ACT/360|3M_USD-LIBOR-BBA|USD|CASH||N|N|LCH.Clearnet Limited|F226TOH6YD6XJB17KS62|P|0.775|0.775|0.775|0.775|USD|250000000.0|250000000|250000000|250000000|0|250000000|250000000|0|1|1|0
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200901|15Y_IRS_6M-3M-3M_USDLIBOR_LCH|"15 Year Interest Rate Swap - 3 Month LIBOR for USD"|IR|S|FF|6M_30/360_vs_3M_3M_ACT/360|3M_USD-LIBOR-BBA|USD|CASH||N|N|LCH.Clearnet Limited|F226TOH6YD6XJB17KS62|P|0.876875|0.876875|0.876875|0.876875|USD|101000000.0|101000000|101000000|101000000|0|101000000|101000000|0|1|1|0
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200901|25Y_IRS_6M-3M-3M_USDLIBOR_REQ_CME|"25 Year Interest Rate Swap - 3 Month LIBOR for USD"|IR|S|FF|6M_30/360_vs_3M_3M_ACT/360|3M_USD-LIBOR-BBA|USD|CASH||N|N|Chicago Mercantile Exchange|KJNXBSWZVIKEX4NFOL81|P|1.105|1.105|1.105|1.105|USD|50000000.0|50000000|50000000|50000000|0|50000000|50000000|0|1|1|0
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200901|25Y_IRS_6M-3M-3M_USDLIBOR_REQ_LCH|"25 Year Interest Rate Swap - 3 Month LIBOR for USD"|IR|S|FF|6M_30/360_vs_3M_3M_ACT/360|3M_USD-LIBOR-BBA|USD|CASH||N|N|LCH.Clearnet Limited|F226TOH6YD6XJB17KS62|P|1.091|1.091|1.091|1.091|USD|50000000.0|50000000|50000000|50000000|0|50000000|50000000|0|1|1|0
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20240829|4Y-5Y_SWN_STRDL_0-088_6M-6M-6M_JPYLIBOR|"Option is Straddle of 4 Year by 5 Year with Strike 0.088% ; Swaption - 6 Month LIBOR for JPY"|IR|O|SWO|6M_ACT/365.FIXED_vs_6M_6M_ACT/360|6M_JPY-LIBOR-BBA|JPY|CASH||N|N|||P|150|150|150|150|JPY|20000000000.0|20000000000|187380000|0|187380000|187380000|0|187380000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20250829|5Y-5Y_SWN_STRDL_0-14_6M-6M-6M_JPYLIBOR|"Option is Straddle of 5 Year by 5 Year with Strike 0.14% ; Swaption - 6 Month LIBOR for JPY"|IR|O|SWO|6M_ACT/365.FIXED_vs_6M_6M_ACT/360|6M_JPY-LIBOR-BBA|JPY|CASH||N|N|||P|175|175|175|175|JPY|20000000000.0|20000000000|187380000|0|187380000|187380000|0|187380000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20300829|10Y-10Y_SWN_STRDL_0-481_6M-6M-6M_JPYLIBOR|"Option is Straddle of 10 Year by 10 Year with Strike 0.481% ; Swaption - 6 Month LIBOR for JPY"|IR|O|SWO|6M_ACT/365.FIXED_vs_6M_6M_ACT/360|6M_JPY-LIBOR-BBA|JPY|CASH||N|N|||P|676|676|676|676|JPY|2000000000.0|2000000000|18738000|0|18738000|18738000|0|18738000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200930|1M-10Y_SWN_STRDL_0-061_6M-6M-6M_JPYLIBOR|"Option is Straddle of 1 Month by 10 Year with Strike 0.061% ; Swaption - 6 Month LIBOR for JPY"|IR|O|SWO|6M_ACT/365.FIXED_vs_6M_6M_ACT/360|6M_JPY-LIBOR-BBA|JPY|CASH||N|N|||P|37|37|37|37|JPY|5000000000.0|5000000000|46845000|0|46845000|46845000|0|46845000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20250829|5Y-10Y_002_SWN_STRDL_0-2765_6M-6M-6M_JPYLIBOR|"Option is Straddle of 5 Year by 10 Year with Strike 0.2765% ; Swaption - 6 Month LIBOR for JPY"|IR|O|SWO|6M_ACT/365.FIXED_vs_6M_6M_ACT/360|6M_JPY-LIBOR-BBA|JPY|CASH||N|N|||P|395|395|395|395|JPY|10000000000.0|10000000000|93690000|0|93690000|93690000|0|93690000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20250829|5Y-10Y_SWN_STRDL_0-2765_6M-6M-6M_JPYLIBOR|"Option is Straddle of 5 Year by 10 Year with Strike 0.2765% ; Swaption - 6 Month LIBOR for JPY"|IR|O|SWO|6M_ACT/365.FIXED_vs_6M_6M_ACT/360|6M_JPY-LIBOR-BBA|JPY|CASH||N|N|||P|395|395|395|395|JPY|5000000000.0|5000000000|46845000|0|46845000|46845000|0|46845000|1|0|1
